DATE,ATNHPIUS31540Q
2000-10-01,129.25
2001-01-01,130.60
2001-04-01,132.25
2001-07-01,134.59
2001-10-01,135.22
2002-01-01,137.49
2002-04-01,140.34
2002-07-01,141.76
2002-10-01,142.93
2003-01-01,144.51
2003-04-01,145.66
2003-07-01,148.29
2003-10-01,153.71
2004-01-01,154.36
2004-04-01,158.81
2004-07-01,164.35
2004-10-01,166.89
2005-01-01,170.14
2005-04-01,174.19
2005-07-01,177.53
2005-10-01,178.44
2006-01-01,179.38
2006-04-01,179.86
2006-07-01,181.49
2006-10-01,182.81
2007-01-01,183.71
2007-04-01,183.43
2007-07-01,182.76
2007-10-01,184.04
2008-01-01,184.49
2008-04-01,181.79
2008-07-01,179.19
2008-10-01,180.54
2009-01-01,180.73
2009-04-01,178.71
2009-07-01,175.90
2009-10-01,176.83
2010-01-01,174.68
2010-04-01,173.47
2010-07-01,175.22
2010-10-01,174.55
2011-01-01,171.61
2011-04-01,170.33
2011-07-01,171.20
2011-10-01,171.62
2012-01-01,170.35
2012-04-01,169.61
2012-07-01,170.71
2012-10-01,171.18
2013-01-01,170.76
2013-04-01,171.47
2013-07-01,173.15
2013-10-01,172.49
2014-01-01,172.39
2014-04-01,175.55
2014-07-01,177.78
2014-10-01,178.54
2015-01-01,179.08
2015-04-01,181.85
2015-07-01,183.84
2015-10-01,185.39
2016-01-01,186.99
2016-04-01,191.13
2016-07-01,193.06
2016-10-01,194.23
2017-01-01,197.07
2017-04-01,203.37
2017-07-01,204.72
2017-10-01,205.70
2018-01-01,207.96
2018-04-01,214.06
2018-07-01,216.05
2018-10-01,215.59
2019-01-01,217.38
2019-04-01,221.34
2019-07-01,223.42
2019-10-01,224.63
2020-01-01,226.10
2020-04-01,228.10
2020-07-01,231.71
2020-10-01,236.21
2021-01-01,239.00
2021-04-01,252.31
2021-07-01,263.78
2021-10-01,268.14
2022-01-01,276.21
2022-04-01,297.82
2022-07-01,303.34
2022-10-01,299.95
2023-01-01,302.66
2023-04-01,319.85
2023-07-01,326.46
2023-10-01,329.44
2024-01-01,331.04
2024-04-01,347.00
2024-07-01,345.78
